year,stock,source,target,sublist.holder,sublist.location,sublist.is_coreSource,sublist.table_source1,sublist.table_source2,sublist.table_source3,sublist.table_source4,market,group,taxcode.source,taxcode.target,china.note,X1,修正,非集團
2013,5878,台灣領航資產投資股份有限公司,台名保險經紀人股份有限公司,NA,NA,0,0,0,0,1,上櫃,G2832,27923512,80287239,NA,NA,NA,NA
2013,5878,正融實業股份有限公司,台名保險經紀人股份有限公司,NA,NA,0,0,0,0,1,上櫃,G2832,25067105,80287239,NA,NA,NA,NA
2013,5878,台名保險經紀人股份有限公司,貞觀財務管理顧問股份有限公司,1,台灣,1,1,0,0,0,興櫃,G2832,80287239,80179766,NA,NA,NA,NA
2013,5878,台名保險經紀人股份有限公司,富陽市台金企業管理諮詢有限公司,1,china,1,1,0,1,0,興櫃,G2832,80287239,NA,NA,NA,NA,NA
