year,stock,source,target,sublist.holder,sublist.location,sublist.is_coreSource,sublist.table_source1,sublist.table_source2,sublist.table_source3,sublist.table_source4,market,group,taxcode.source,taxcode.target,china.note,X1,修正,非集團
2014,5213,亞昕國際開發股份有限公司,B.V.I. MULAND DEVELOPMENT INC.,0.88,英屬維京群島,1,0,1,0,0,上櫃,G3310,89961389,NA,NA,NA,NA,NA
2014,5213,B.V.I. MULAND DEVELOPMENT INC.,MULAND INVESTMENT HOLDING LIMITED,1,香港,0,0,1,0,0,上櫃,G3310,NA,NA,NA,NA,NA,NA
2014,5213,MULAND INVESTMENT HOLDING LIMITED,三河中和房地產開發有限公司,0.99,china,0,1,0,1,0,上櫃,G3310,NA,NA,NA,NA,NA,NA
2014,5213,上億投資股份有限公司,亞昕國際開發股份有限公司,NA,NA,0,0,0,0,1,上櫃,G3310,28080742,89961389,NA,NA,NA,NA
2014,5213,永翊開發股份有限公司,亞昕國際開發股份有限公司,NA,NA,0,0,0,0,1,上櫃,G3310,16058560,89961389,NA,NA,NA,NA
2014,5213,益昕投資股份有限公司,亞昕國際開發股份有限公司,NA,NA,0,0,0,0,1,上櫃,G3310,27597501,89961389,NA,NA,NA,NA
2014,5213,亞昕國際開發股份有限公司,昕境股份有限公司,1,台灣,1,1,0,0,0,上櫃,G3310,89961389,24541245,NA,NA,NA,NA
2014,5213,德陽投資股份有限公司,亞昕國際開發股份有限公司,0.0929,NA,0,0,0,0,1,上櫃,G3310,27808626,89961389,NA,NA,NA,NA
